0.000000	41	64	30
0.100000	78	95	87
0.200000	71	12	20
0.300000	0	77	27
0.400000	89	10	1
0.500000	0	48	42
0.600000	0	84	80
0.700000	72	61	80
0.800000	61	55	96
0.900000	44	66	65
1.000000	14	30	60
1.100000	30	50	31
1.200000	73	41	60
1.300000	8	20	20
1.400000	1	53	44
1.500000	4	47	17
1.600000	93	84	64
1.700000	99	32	95
1.800000	7	89	66
1.900000	85	89	81
2.000000	78	58	99
2.100000	42	26	22
2.200000	54	76	76
2.300000	92	87	72
2.400000	19	60	79
2.500000	76	87	75
2.600000	46	3	14
2.700000	25	44	4
2.800000	27	79	28
2.900000	7	13	69
3.000000	47	82	28
3.100000	64	48	97
3.200000	1	18	17
3.300000	57	48	87
3.400000	70	67	74
3.500000	77	41	91
3.600000	17	72	2
3.700000	39	52	57
3.800000	29	98	73
3.900000	24	12	42
4.000000	38	19	7
4.100000	31	97	61
4.200000	20	89	15
4.300000	18	20	76
4.400000	19	88	1
4.500000	24	59	8
4.600000	18	94	26
4.700000	45	38	66
4.800000	35	29	47
4.900000	97	62	60
5.000000	60	74	34
5.100000	7	88	89
5.200000	66	10	23
5.300000	78	87	66
5.400000	45	84	98
5.500000	16	67	67
5.600000	65	27	24
5.700000	71	80	41
5.800000	33	90	46
5.900000	63	84	3
6.000000	0	32	39
6.100000	24	31	63
6.200000	89	50	74
6.300000	45	84	79
6.400000	31	5	30
6.500000	3	47	65
6.600000	83	88	53
6.700000	3	1	64
6.800000	90	91	78
6.900000	55	74	91
7.000000	41	29	22
7.100000	48	65	27
7.200000	44	36	87
7.300000	56	67	5
7.400000	73	42	44
7.500000	49	68	97
7.600000	84	19	72
7.700000	75	98	91
7.800000	96	66	79
7.900000	7	63	96
8.000000	83	85	87
8.100000	71	99	90
8.200000	39	82	84
8.300000	25	95	95
8.400000	68	22	70
8.500000	51	40	96
8.600000	41	31	95
8.700000	10	60	64
8.800000	74	61	36
8.900000	50	80	38
9.000000	40	22	2
9.100000	70	0	37
9.200000	22	58	41
9.300000	40	54	10
9.400000	55	78	64
9.500000	22	42	91
9.600000	95	8	6
9.700000	33	13	34
9.800000	95	0	16
9.900000	87	6	59
10.000000	1	9	87
